prob,i,LNN time 1,zigzag time
70,6,2.6446356773376465,3.7003402709960938
70,7,2.535903215408325,3.841721296310425
70,8,2.597041130065918,3.823113441467285
70,9,2.595865249633789,3.8433046340942383
65,0,2.5903544425964355,3.8665802478790283
65,1,2.6644792556762695,3.9046900272369385
65,2,2.560734987258911,3.9264166355133057
65,3,2.6059176921844482,4.038855075836182
65,4,2.6237244606018066,3.8278403282165527
65,5,2.6694514751434326,3.9639527797698975
65,6,2.6390912532806396,3.963820219039917
65,7,2.603850841522217,3.8611514568328857
65,8,2.591275930404663,3.838195562362671
65,9,2.605881929397583,3.922616958618164
60,0,2.5423312187194824,3.816749095916748
60,1,2.580043315887451,3.848712205886841
60,2,2.6738409996032715,3.960228204727173
60,3,2.623934030532837,3.8926806449890137
60,4,2.519914388656616,3.9025442600250244
60,5,2.499528169631958,3.8449244499206543
60,6,2.5811028480529785,3.8486249446868896
60,7,2.5730180740356445,3.8721160888671875
60,8,2.5772793292999268,3.8582406044006348
60,9,2.468416929244995,3.8826041221618652
55,0,2.5541939735412598,3.8885908126831055
55,1,2.5557198524475098,3.9575300216674805
55,2,2.5742244720458984,3.890138626098633
55,3,2.596860647201538,3.889754295349121
55,4,2.5696797370910645,3.8122541904449463
55,5,2.5681509971618652,3.8944921493530273
55,6,2.560105323791504,3.891585350036621
55,7,2.5308327674865723,3.9425714015960693
55,8,2.5653324127197266,3.889484167098999
55,9,2.5516064167022705,3.890665292739868
50,0,2.5486137866973877,3.846398115158081
50,1,2.578890562057495,3.880932092666626
50,2,2.670801877975464,3.7229864597320557
50,3,2.438297986984253,3.6366617679595947
50,4,2.461031436920166,3.668790817260742
50,5,2.4585258960723877,3.6506597995758057
50,6,2.479684829711914,3.677741289138794
50,7,2.459381103515625,3.696512222290039
50,8,2.5672154426574707,3.7285516262054443
50,9,2.4349727630615234,3.8772106170654297
45,0,2.4388086795806885,3.7456231117248535
45,1,2.446566581726074,3.7415120601654053
45,2,2.4503939151763916,3.611896514892578
45,3,2.442164182662964,3.676370859146118
45,4,2.437973737716675,3.668844699859619
45,5,2.569950580596924,4.110683441162109
45,6,2.583538293838501,3.890895366668701
45,7,2.5568556785583496,3.9080519676208496
45,8,2.538018226623535,3.848644495010376
45,9,2.532914400100708,4.1296327114105225
40,0,2.6084933280944824,3.891991376876831
40,1,2.5933425426483154,4.150878190994263
40,2,2.691352605819702,3.9997971057891846
40,3,2.687323570251465,3.936549663543701
40,4,2.616241216659546,3.9440863132476807
40,5,2.622803211212158,3.91902756690979
40,6,2.6831610202789307,4.077520370483398
40,7,2.616166830062866,3.8836216926574707
40,8,2.804753303527832,4.081287860870361
40,9,2.628972053527832,3.9412004947662354
35,0,2.653184175491333,3.990687608718872
35,1,2.894719362258911,4.150736570358276
35,2,2.690154552459717,3.885260820388794
35,3,2.572568893432617,3.8679234981536865
35,4,2.592724323272705,3.904452085494995
35,5,2.535191297531128,3.715881586074829
35,6,2.542397975921631,3.7976744174957275
35,7,2.473780870437622,3.7388358116149902
35,8,2.677591562271118,3.7639896869659424
35,9,2.7944939136505127,3.7456092834472656
30,0,2.379836082458496,3.629316806793213
30,1,2.5740244388580322,3.855700969696045
30,2,2.477994203567505,4.0120015144348145
30,3,2.4656267166137695,3.7107203006744385
30,4,2.4254627227783203,3.6654233932495117
30,5,2.457570791244507,3.715312957763672
30,6,2.4139251708984375,3.547429323196411
30,7,2.4345152378082275,3.5579662322998047
30,8,2.5057787895202637,3.544158935546875
30,9,2.3842132091522217,3.5994606018066406
25,0,2.340988874435425,3.478388786315918
25,1,2.3402485847473145,3.5246541500091553
25,2,2.3517141342163086,3.4734888076782227
25,3,2.3585612773895264,3.4781107902526855
25,4,2.348491668701172,3.517421007156372
25,5,2.342815399169922,3.4443719387054443
25,6,2.3373160362243652,3.4704818725585938
25,7,2.3256614208221436,3.417370557785034
25,8,2.321199655532837,3.4556097984313965
25,9,2.3097546100616455,3.4213690757751465
20,0,2.318222761154175,3.3257973194122314
20,1,2.301234722137451,3.3303616046905518
20,2,2.280029058456421,3.313789129257202
20,3,2.269005060195923,3.3320670127868652
20,4,2.3527188301086426,3.3545281887054443
20,5,2.331493377685547,3.3194103240966797
20,6,2.3456411361694336,3.7346582412719727
20,7,2.5160183906555176,3.5098814964294434
20,8,2.481572389602661,3.5398976802825928
20,9,2.4846951961517334,3.5318264961242676
15,0,2.3856828212738037,3.305825710296631
15,1,2.314502477645874,3.1929454803466797
15,2,2.306790828704834,3.264378547668457
15,3,2.2642335891723633,3.278780937194824
15,4,2.30684232711792,3.3025057315826416
15,5,2.381711483001709,3.3218932151794434
15,6,2.305939197540283,3.176970958709717
15,7,2.2476305961608887,3.3020529747009277
15,8,2.266374111175537,3.29254412651062
15,9,2.409605026245117,3.405620574951172
10,0,2.1840720176696777,3.012421131134033
10,1,2.1228864192962646,3.0202815532684326
10,2,2.163174867630005,3.0496814250946045
10,3,2.1197967529296875,3.024646282196045
10,4,2.12198543548584,3.1007118225097656
10,5,2.166080951690674,3.014810085296631
10,6,2.169516086578369,3.092444658279419
10,7,2.242572069168091,2.9799962043762207
10,8,2.1798176765441895,3.019016981124878
10,9,2.2469725608825684,3.1403675079345703
5,0,1.96026611328125,2.721750497817993
5,1,2.0276126861572266,2.7102298736572266
5,2,1.9819107055664062,2.7460334300994873
5,3,2.034963846206665,2.7391891479492188
5,4,1.9955594539642334,2.768810749053955
5,5,1.9666543006896973,2.7271924018859863
5,6,1.9398837089538574,2.7023417949676514
5,7,1.9804208278656006,2.722032308578491
5,8,1.9947028160095215,2.696329355239868
5,9,1.9986865520477295,2.7490622997283936
