file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_fidelity_coherence_big,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,num_big_move,num_offset_move,total_move_dis,bigmov_dis,offset_dis,average_movement
qft50 40 5 full code fidelity,1.2518260654616927e-09,1,0.08157186144027838,0.00012202693178873993,0.007443228144190618,0.01689610480755573,0.9849491687919457,500,92,4898,2652,281,2371,526.5263157894711,264.73684210526284,261.7894736842161,33.026837485081636
qft50 40 6 full code fidelity,1.212371877279147e-09,1,0.08794155926129832,0.00011319906049202245,0.007443228144190622,0.016362043343784688,0.9849031616789568,485,92,4898,2674,282,2392,529.7894736842076,265.4210526315786,264.368421052637,33.008578157657425
qft50 40 7 full code fidelity,1.186826745646373e-09,1,0.08075818212241156,0.00012325486609078389,0.007443228144190606,0.01601899940883969,0.9848506955991623,502,92,4898,2688,283,2405,532.1052631578917,266.31578947368394,265.7894736842159,32.99861680067105
qft50 40 8 full code fidelity,9.350816508490886e-10,1,0.08239373898667042,9.405843424667868e-05,0.00744322814419061,0.016210493923327313,0.9847998442610691,498,94,4898,2678,284,2394,531.894736842102,267.15789473684185,264.7368421052686,33.04407500551536
qft50 40 9 full code fidelity,1.2206865313382714e-09,1,0.09108200798387564,0.00010930083592501167,0.007443228144190628,0.01647353268806906,0.9848523103408636,478,92,4898,2667,283,2384,529.6315789473654,266.26315789473654,263.3684210526371,33.036103595561144
qft50 45 4 full code fidelity,1.0673717397679182e-09,1,0.06254083169574963,0.00014038898933161023,0.0074432281441906166,0.016332688125820092,0.9848523103408636,553,93,4898,2672,283,2389,530.5263157894707,266.26315789473654,264.2631578947423,33.040626755629134
qft50 45 5 full code fidelity,1.020505226145275e-09,1,0.05859542412067082,0.00014982957037334258,0.007443228144190618,0.015616822206232278,0.9848506955991623,566,93,4898,2706,283,2423,534.5789473684174,266.3157894736839,268.2631578947421,32.983139676343384
qft50 45 8 full code fidelity,1.2133039324857367e-09,1,0.060384464270883294,0.00016478101307459657,0.007443228144190599,0.0163823382310259,0.984899932195554,560,92,4898,2677,282,2395,530.2105263157863,265.52631578947336,264.6842105263212,33.00361830488444
qft50 45 9 full code fidelity,1.3775760026798173e-09,1,0.05801093476506709,0.00019438174694609778,0.0074432281441906,0.016413034918527133,0.9849523982753485,568,91,4898,2675,281,2394,529.1578947368394,264.6315789473681,264.5263157894791,32.98652641851594
qft50 45 2 full code fidelity,1.1873484957833287e-09,1,0.05743227569078555,0.00017324036153977006,0.007443228144190592,0.01603288838057299,0.9848490808574609,570,92,4898,2687,283,2404,532.5789473684179,266.3684210526313,266.2105263157948,33.024319040867105
qft50 45 3 full code fidelity,8.885520930076877e-10,1,0.050667916213027346,0.0001528601563076359,0.007443228144190635,0.015413249916827599,0.9847013710682857,595,94,4898,2711,286,2425,537.4210526315749,268.7368421052629,268.684210526321,33.03376703183997
qft50 45 6 full code fidelity,1.2123206732088095e-09,1,0.07875931641927118,0.0001263790337585928,0.007443228144190628,0.016363613439061838,0.9849491687919457,507,92,4898,2677,281,2396,529.9473684210496,264.73684210526284,265.2105263157949,33.004216156043576
qft50 45 7 full code fidelity,1.2184143161973146e-09,1,0.06191698689958454,0.00016070752479093202,0.007443228144190601,0.016450823253358542,0.985004864355143,555,92,4898,2675,280,2395,528.5263157894707,263.73684210526284,264.7894736842159,32.9739849718515
qft50 45 0 full code fidelity,1.031282183840291e-09,1,0.060082541949528896,0.0001461256909756231,0.007443228144190623,0.015781246665970392,0.9848014590027706,561,93,4898,2696,284,2412,533.8947368421017,267.10526315789446,266.78947368421586,33.00935363818895
qft50 45 1 full code fidelity,1.0285404743916759e-09,1,0.05489891379418009,0.0001599049915890073,0.007443228144190624,0.015741071184574927,0.9848506955991623,579,93,4898,2701,283,2418,534.1052631578912,266.3157894736839,267.78947368421575,32.9965186635127
qft50 50 3 full code fidelity,9.175441640138592e-10,1,0.04819076839980127,0.00016070752479093174,0.007443228144190654,0.015917160044823193,0.9849015469372554,605,94,4898,2695,282,2413,532.6842105263122,265.473684210526,267.2105263157947,32.989394809669854
qft50 50 2 full code fidelity,9.421850476442034e-10,1,0.04447676004441069,0.00017410982246570802,0.00744322814419062,0.016346262209051957,0.9849015469372554,621,94,4898,2676,282,2394,530.3157894736813,265.473684210526,264.8421052631633,33.01629323146538
qft50 50 0 full code fidelity,7.898363296129573e-10,1,0.04583472801998072,0.0001490813589562906,0.007443228144190607,0.015529510740237625,0.9848014590027706,615,95,4898,2708,284,2424,535.4210526315752,267.10526315789446,268.3157894736894,32.993773240330896
qft50 50 1 full code fidelity,1.3464230311164416e-09,1,0.04583472801998077,0.0002459475332739589,0.007443228144190598,0.016046601634853375,0.9850524862098333,615,91,4898,2695,279,2416,530.3684210526284,262.99999999999966,267.36842105263685,32.92865726579709
qft50 50 5 full code fidelity,1.1798925740516417e-09,1,0.04794981455780226,0.00020745311845332825,0.007443228144190613,0.015935813462767158,0.9849523982753485,606,92,4898,2695,281,2414,531.0526315789443,264.6315789473681,266.4210526315843,32.93286619134683
qft50 50 4 full code fidelity,6.973026195444316e-10,1,0.04381293884115284,0.00013760565516085494,0.007443228144190608,0.015538936720751507,0.9847506076646775,624,96,4898,2706,285,2421,535.8421052631542,267.9473684210524,267.89473684211055,33.0119693723391
qft50 50 8 full code fidelity,9.363034645473045e-10,1,0.04629653596624408,0.00016727450077717325,0.007443228144190614,0.016243404520321587,0.9850032496134415,613,94,4898,2683,280,2403,529.7894736842075,263.78947368421024,266.00000000000534,32.9727925074282
qft50 50 9 full code fidelity,1.2041303966299576e-09,1,0.053540097225519494,0.00018581799058469485,0.007443228144190599,0.01626092602055123,0.9849507835336471,584,92,4898,2682,281,2401,529.9999999999972,264.6842105263155,265.3157894736896,32.97398104475286
