prob,i,LNN time 1,zigzag time
70,8,2.3607850074768066,3.2253143787384033
70,9,2.296299457550049,3.1569879055023193
65,0,2.399284839630127,3.2800281047821045
65,1,2.2919921875,3.16631817817688
65,2,2.396232843399048,3.1893465518951416
65,3,2.3013014793395996,3.1894431114196777
65,4,2.331801652908325,3.2880728244781494
65,5,2.4361071586608887,3.223072052001953
65,6,2.3312478065490723,3.254704236984253
65,7,2.3071136474609375,3.170036792755127
65,8,2.344597339630127,3.2314329147338867
65,9,2.2915918827056885,3.180349349975586
60,0,2.4574804306030273,3.3539483547210693
60,1,2.3781471252441406,3.4855434894561768
60,2,2.5341897010803223,3.2329483032226562
60,3,2.412045955657959,3.382053852081299
60,4,2.4700732231140137,3.3411428928375244
60,5,2.4510915279388428,3.3902199268341064
60,6,2.796477794647217,3.9571428298950195
60,7,2.612781524658203,3.301774024963379
60,8,2.3843026161193848,3.2038378715515137
60,9,2.398468255996704,3.3686139583587646
55,0,2.434394121170044,3.282907724380493
55,1,2.3166582584381104,3.2876765727996826
55,2,2.3297531604766846,3.268895149230957
55,3,2.4636685848236084,3.298222303390503
55,4,2.3056955337524414,3.23789381980896
55,5,2.4035441875457764,3.335329055786133
55,6,2.315265417098999,3.3039751052856445
55,7,2.414295196533203,3.2774219512939453
55,8,2.351026773452759,3.21803879737854
55,9,2.3041508197784424,3.2573540210723877
50,0,2.4515738487243652,3.3963840007781982
50,1,2.3384640216827393,3.218369245529175
50,2,2.382781744003296,3.361842393875122
50,3,2.357553482055664,3.3791816234588623
50,4,2.3971426486968994,3.3114774227142334
50,5,2.320908784866333,3.355485439300537
50,6,2.3419229984283447,3.376399278640747
50,7,2.32698917388916,3.253171443939209
50,8,2.394359588623047,3.283703088760376
50,9,2.2891247272491455,3.223569631576538
45,0,2.351015329360962,3.268510103225708
45,1,2.38466477394104,3.220686912536621
45,2,2.3279569149017334,3.2561192512512207
45,3,2.3658804893493652,3.259434938430786
45,4,2.377807378768921,3.254721164703369
45,5,2.364640712738037,3.2230770587921143
45,6,2.3863842487335205,3.2264537811279297
45,7,2.394002914428711,3.2909436225891113
45,8,2.3628904819488525,3.1915574073791504
45,9,2.3321399688720703,3.219355344772339
40,0,2.45401930809021,3.3090031147003174
40,1,2.381193161010742,3.220510244369507
40,2,2.336294174194336,3.294168710708618
40,3,2.3901379108428955,3.3055014610290527
40,4,2.380887031555176,3.2136409282684326
40,5,2.36188006401062,3.2642111778259277
40,6,2.4462313652038574,3.1855766773223877
40,7,2.304814100265503,3.295172929763794
40,8,2.4176928997039795,3.2882354259490967
40,9,2.3743185997009277,3.208359479904175
35,0,2.298515796661377,3.22363543510437
35,1,2.432770013809204,3.168351650238037
35,2,2.305155038833618,3.2409818172454834
35,3,2.3936424255371094,3.2633819580078125
35,4,2.379021644592285,3.233865737915039
35,5,2.3733441829681396,3.2398669719696045
35,6,2.3712241649627686,3.148097276687622
35,7,2.2959201335906982,3.2225282192230225
35,8,2.3406434059143066,3.2542312145233154
35,9,2.2552525997161865,3.1897921562194824
30,0,2.3221518993377686,3.1151123046875
30,1,2.307819366455078,3.209630250930786
30,2,2.2948665618896484,3.2865002155303955
30,3,2.2525992393493652,3.167344093322754
30,4,2.351895332336426,3.166090726852417
30,5,2.268157958984375,3.181204319000244
30,6,2.3377935886383057,3.1439032554626465
30,7,2.3492965698242188,3.1012823581695557
30,8,2.2909488677978516,3.2094788551330566
30,9,2.3222062587738037,3.128429651260376
25,0,2.277377128601074,3.1720070838928223
25,1,2.2702226638793945,3.1703529357910156
25,2,2.309643030166626,3.1991775035858154
25,3,2.294201612472534,3.203061580657959
25,4,2.3913650512695312,3.059993028640747
25,5,2.2510077953338623,3.10681414604187
25,6,2.2998905181884766,3.2035064697265625
25,7,2.370027542114258,3.0970726013183594
25,8,2.2723915576934814,3.051330804824829
25,9,2.3196256160736084,3.1702263355255127
20,0,2.252131223678589,2.9818673133850098
20,1,2.2288408279418945,3.062196731567383
20,2,2.2402291297912598,3.006296157836914
20,3,2.2871437072753906,3.071951150894165
20,4,2.254587173461914,3.0487678050994873
20,5,2.293881893157959,3.0029799938201904
20,6,2.2448058128356934,3.0830016136169434
20,7,2.303299903869629,3.06215238571167
20,8,2.229315996170044,3.0192458629608154
20,9,2.2633824348449707,3.134535551071167
15,0,2.2236721515655518,2.9823405742645264
15,1,2.1703684329986572,2.921727180480957
15,2,2.164783477783203,2.939241409301758
15,3,2.219007730484009,3.134901762008667
15,4,2.2139408588409424,2.904625415802002
15,5,2.174715042114258,2.924513101577759
15,6,2.2154247760772705,2.984485149383545
15,7,2.18803071975708,2.9426538944244385
15,8,2.1474497318267822,2.9136741161346436
15,9,2.1593401432037354,2.941904306411743
10,0,2.1762077808380127,2.938937187194824
10,1,2.132171869277954,2.8296995162963867
10,2,2.1481785774230957,2.7884578704833984
10,3,2.179753303527832,2.895756244659424
10,4,2.1592466831207275,2.899508476257324
10,5,2.0965068340301514,2.7010622024536133
10,6,2.0966830253601074,2.7777318954467773
10,7,2.1596333980560303,2.852926254272461
10,8,2.0587430000305176,2.7980170249938965
10,9,2.1108741760253906,2.827603340148926
5,0,1.960723876953125,2.6427018642425537
5,1,2.0598576068878174,2.7188656330108643
5,2,1.9896659851074219,2.6879138946533203
5,3,1.988236665725708,2.5670013427734375
