file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_fidelity_coherence_big,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,num_big_move,total_move_dis,bigmov_dis,average_movement
qft 98 full code fidelity,3.8566596481969254e-63,1,2.0239769808505108e-21,3.5092023774332976e-21,3.0129597382654975e-17,1.802204218012272e-05,0.9574144189270664,9506,386,38022,3084,771,1054.7894736841708,,41.94043267072334
qft 99 full code fidelity,1.967181931413702e-64,1,7.577560195084625e-22,1.3220294045973783e-21,1.3751057480804218e-17,1.4280319342047113e-05,0.9569724996570941,9702,390,38806,3116,779,1065.7368421052238,,41.94048065362739
qft 100 full code fidelity,9.73129052717428e-66,1,2.8086613804572205e-22,4.930891339239762e-22,6.225909055194883e-18,1.1286072902100265e-05,0.9565305803871217,9900,394,39598,3148,787,1076.6842105262767,,41.940527661021314
qft 200 full code fidelity,6.64239995807738e-264,1,2.2835665873203574e-87,7.980410214757593e-87,6.708023879118753e-70,5.433648322729701e-22,0.9123386533898853,39800,794,159198,6348,1587,2171.421052631545,,41.94283508130302
qft 300 full code fidelity,0.0,1,5.374559702854525e-196,4.239350757360359e-195,1.2532696019917765e-156,2.974614116249852e-52,0.8681467263926527,89700,1194,358798,9548,2387,3266.157894736612,,41.943595843666536
qft 400 full code fidelity,0.0,1,5e-324,0.0,4.06024734139364e-278,2.947760932418372e-100,0.8239547993954202,159600,1594,638398,12748,3187,4360.894736841877,,41.94397467324636
qft 500 full code fidelity,0.0,1,0.0,0.0,1.5e-323,5.026353817593232e-172,0.7797628723981875,249500,1994,997998,15948,3987,5455.631578947762,,41.944201476910024
qft 600 full code fidelity,0.0,1,0.0,0.0,5e-324,3.7641175028497385e-278,0.735570945400955,359400,2394,1437598,19148,4787,6550.368421053648,,41.944352474043114
qft 700 full code fidelity,0.0,1,0.0,0.0,5e-324,0.0,0.6913790184037225,489300,2794,1957198,22348,5587,7645.105263159533,,41.94446022875398
qft 800 full code fidelity,0.0,1,0.0,0.0,5e-324,0.0,0.6471870914064888,639200,3194,2556798,25548,6387,8739.842105265145,,41.94454098995658
qft 900 full code fidelity,0.0,1,0.0,0.0,5e-324,0.0,0.6029951644092406,809100,3594,3236398,28748,7187,9834.578947370484,,41.94460377176245
qft 1000 full code fidelity,0.0,1,0.0,0.0,5e-324,0.0,0.5588032374119926,999000,3994,3995998,31948,7987,10929.315789475824,,41.944653976769864
