file_name,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,big_movement_stage,movement_distance
qft 19 18 full code fidelity,0.08016663505455203,0.4243720840628101,0.44552092634773516,0.5054322741177131,0.8389107685903214,171,35,682,276,69,90.6842105263161
qft 19 16 full code fidelity,0.0877095379129337,0.46677573701590447,0.44552092634773527,0.5054322741177133,0.834463743124134,152,33,682,284,71,93.31578947368453
qft 20 19 full code fidelity,0.06035141142865256,0.3858205374665315,0.40611176316843706,0.46842501060572467,0.8222737859297164,190,37,758,292,73,95.94736842105297
qft 20 17 full code fidelity,0.06634294077831117,0.4265046070983014,0.40611176316843706,0.46842501060572467,0.8176837129161167,170,35,758,300,75,98.57894736842141
qft 21 20 full code fidelity,0.04475287224127305,0.3490173016974101,0.3683399621661079,0.43239347672188033,0.8050928773394322,210,39,838,308,77,101.21052631578985
qft 21 18 full code fidelity,0.049429041298816444,0.38775933413721764,0.3683399621661079,0.43239347672188033,0.8003721229658498,189,37,838,316,79,103.84210526315829
qft 22 21 full code fidelity,0.032688404185250354,0.3141460853680821,0.3324129372693024,0.39753936928566624,0.7874155821756639,231,41,922,324,81,106.47368421052673
qft 22 19 full code fidelity,0.03627511905329272,0.3507711574848343,0.33241293726930227,0.3975393692856662,0.7825766910841326,209,39,922,332,83,109.10526315789517
qft 23 22 full code fidelity,0.023518275073419234,0.2813451472456286,0.29849207516847903,0.36403497277104174,0.7692900643917614,253,43,1010,340,85,111.7368421052636
qft 23 20 full code fidelity,0.02622251323904419,0.3157247089126453,0.298492075168479,0.36403497277104163,0.7643457028101511,230,41,1010,348,87,114.36842105263204
qft 24 23 full code fidelity,0.016666936059880583,0.25070920851039596,0.26669415736778285,0.332022889684616,0.7507648946018004,276,45,1102,356,89,117.00000000000048
qft 24 21 full code fidelity,0.018671456807635902,0.28275894195540563,0.2666941573677828,0.332022889684616,0.7457277939507668,252,43,1102,364,91,119.63157894736892
qft 25 24 full code fidelity,0.01163440684011275,0.22229219984074683,0.2370936957116225,0.3016163601974341,0.7318888344455805,300,47,1198,372,93,122.26315789473736
qft 25 22 full code fidelity,0.013095441213197783,0.25196905377929235,0.2370936957116225,0.3016163601974341,0.7267717357719958,275,45,1198,380,95,124.8947368421058
qft 26 25 full code fidelity,0.007999641275899704,0.19611067854912723,0.2097260222323098,0.27290011414765825,0.7127106245855659,325,49,1298,388,97,127.52631578947424
qft 26 23 full code fidelity,0.00904689857827246,0.22340924607110238,0.20972602223230993,0.2729001141476582,0.707526224159961,299,47,1298,396,99,130.15789473684268
qft 27 26 full code fidelity,0.005417939893870784,0.17214774642209296,0.18459096583862739,0.245931689226184,0.6932787776115231,351,51,1402,404,101,132.78947368421112
qft 27 24 full code fidelity,0.006156254680624277,0.19709615934585645,0.1845909658386274,0.24593168922618394,0.6880396740113129,324,49,1402,412,103,135.42105263157956
qft 28 27 full code fidelity,0.003614388828871639,0.15035730121053834,0.16165694722298557,0.2207431426814747,0.6736413770642449,378,53,1510,420,105,138.052631578948
qft 28 25 full code fidelity,0.004126390441751194,0.17301281047446526,0.16165694722298565,0.2207431426814747,0.6683600200462144,350,51,1510,428,107,140.68421052631643
qft 29 28 full code fidelity,0.002375046911872367,0.1306684630191193,0.14086532867655827,0.1973430802016054,0.6538458837163459,406,55,1622,436,109,143.31578947368487
qft 29 26 full code fidelity,0.002724335299292635,0.15111286553822953,0.14086532867655827,0.1973430802016054,0.6485345251615403,377,53,1622,444,111,145.9473684210533
qft 30 29 full code fidelity,0.0015372544497419577,0.11299003011401036,0.12213486631545631,0.17571892461558325,0.6339389501668352,435,57,1738,452,113,148.57894736842175
qft 30 27 full code fidelity,0.0017716866289077555,0.1313250884614265,0.12213486631545636,0.1757189246155835,0.6286095973586694,405,55,1738,460,115,151.2105263157902
qft 31 30 full code fidelity,0.0009800656858084454,0.09721483575406002,0.10536612743728851,0.15583934847946995,0.613966244717805,465,59,1858,468,117,153.84210526315863
qft 31 28 full code fidelity,0.0011348774877789512,0.11355781921006065,0.10536612743728849,0.15583934847947006,0.6086306161901525,434,57,1858,476,119,156.47368421052707
qft 32 31 full code fidelity,0.0006154603501724089,0.08322389736286491,0.09044575417287987,0.13765679818255822,0.5939722854071103,496,61,1982,484,121,159.1052631578955
qft 32 29 full code fidelity,0.0007160550144696711,0.09770335251664322,0.09044575417287987,0.13765679818255827,0.5886417695737979,464,59,1982,492,123,161.73684210526395
qft 33 32 full code fidelity,0.00038069752871359427,0.07089027053687676,0.07725047509429743,0.12111004258082077,0.5740002849716312,528,63,2110,500,125,164.36842105263239
qft 33 30 full code fidelity,0.0004450191980747118,0.08364210790237676,0.07725047509429743,0.1211100425808208,0.5686859017221892,495,61,2110,508,127,167.00000000000082
qft 34 33 full code fidelity,0.00023195018808564203,0.060082541949528855,0.06565078786515369,0.10612668596357129,0.5540920074124117,561,65,2242,516,129,169.63157894736926
qft 34 31 full code fidelity,0.0002724241855244904,0.07124650305213744,0.06565078786515371,0.10612668596357126,0.5488043728316089,527,63,2242,524,131,172.2631578947377
qft 35 34 full code fidelity,0.0001392014324287337,0.050667916213027374,0.05551425735577884,0.09262559299680381,0.5342876367269703,595,67,2378,532,133,174.89473684210614
qft 35 32 full code fidelity,0.00016426564517125887,0.060384464270883294,0.05551425735577886,0.09262559299680381,0.5290369310676909,560,65,2378,540,135,177.52631578947458
qft 36 35 full code fidelity,8.228612166485793e-05,0.04251487140556208,0.046708394020618445,0.08051918177982245,0.5146256582663037,630,69,2518,548,137,180.15789473684302
qft 36 33 full code fidelity,9.756220435769533e-05,0.05092252885731393,0.04670839402061846,0.08051918177982245,0.5094215972771778,594,67,2518,556,139,182.78947368421146
qft 37 36 full code fidelity,4.79118572272865e-05,0.03549537564593805,0.03910309604209088,0.0697155499374983,0.495142753065803,666,71,2662,564,141,185.4210526315799
qft 37 34 full code fidelity,5.7075516742391896e-05,0.042728513975439246,0.03910309604209088,0.06971554993749828,0.4899945627468312,629,69,2662,572,143,188.05263157894834
qft 38 37 full code fidelity,2.7478470179848052e-05,0.029486672365214184,0.03257265525722745,0.06012040741824576,0.47587370539140694,703,73,2810,580,145,190.68421052631678
qft 38 35 full code fidelity,3.288903232364972e-05,0.03567374436777695,0.03257265525722747,0.06012040741824576,0.47079010022285217,665,71,2810,588,147,193.31578947368521
qft 39 38 full code fidelity,1.55229706091214e-05,0.024372654527368514,0.026997340853241018,0.05163879808933466,0.45685132363582776,741,75,2962,596,149,195.94736842105365
qft 39 36 full code fidelity,1.866744768738722e-05,0.029634846598205217,0.026997340853241018,0.051638798089334643,0.4518404882983386,702,73,2962,604,151,198.5789473684221
qft 40 39 full code fidelity,8.637527995338115e-06,0.020044857891939733,0.022264586067849413,0.04417660007676208,0.4381063745957332,780,77,3118,612,153,201.21052631579053
qft 40 37 full code fidelity,1.043640685774792e-05,0.024495130178259817,0.022264586067849413,0.04417660007676206,0.43317594917307317,740,75,3118,620,155,203.84210526315897
