file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_fidelity_coherence_big,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,num_big_move,num_offset_move,total_move_dis,bigmov_dis,offset_dis,average_movement
qft 28 full code fidelity,8.218390956139594e-05,1,0.02260731802731656,0.026132968585455146,0.22030187713925445,0.6314381382958846,0.9946097581621316,756,106,1512,424,106,318,128.31578947368467,89.26315789473678,39.05263157894739,40.81047727262439
qft 29 full code fidelity,4.07025957679852e-05,1,0.01707424722777896,0.0198430408231548,0.1969485913842824,0.609985394566438,0.9944063528097592,812,110,1624,440,110,330,133.1578947368426,92.63157894736834,40.52631578947372,40.8104772726244
qft 30 full code fidelity,1.9654797481439567e-05,1,0.012766746905164973,0.014916925569894404,0.17536766248527672,0.5885176451599362,0.9942029474573868,870,114,1740,456,114,342,138.0000000000005,95.9999999999999,42.00000000000005,40.81047727262439
qft 31 full code fidelity,9.253918699587598e-06,1,0.009450724290688864,0.011102020811130906,0.15552782562185952,0.5670879886928787,0.9939995421050144,930,118,1860,472,118,354,142.84210526315843,99.36842105263146,43.47368421052638,40.81047727262439
qft 32 full code fidelity,4.248082164361455e-06,1,0.0069262170922646735,0.008180434447901015,0.13738162224299127,0.5457475554856398,0.993796136752642,992,122,1984,488,122,366,147.68421052631635,102.73684210526302,44.94736842105271,40.81047727262439
qft 33 full code fidelity,1.9013835827988256e-06,1,0.005025430456791578,0.005967635902294668,0.1208679436057017,0.5245453251983808,0.9935927314002696,1056,126,2112,504,126,378,152.52631578947427,106.10526315789458,46.42105263157904,40.81047727262439
qft 34 full code fidelity,8.297660375129125e-07,1,0.0036099118471168983,0.0043100259473154105,0.1059145387183301,0.5035279639685879,0.9933893260478972,1122,130,2244,520,130,390,157.3684210526322,109.47368421052614,47.89473684210537,40.8104772726244
qft 35 full code fidelity,3.5306131437518384e-07,1,0.0025672377333703605,0.0030818327697636444,0.09244043443640321,0.4827396815661414,0.9931859206955248,1190,134,2380,536,134,402,162.2105263157901,112.8421052631577,49.368421052631696,40.81047727262439
qft 36 full code fidelity,1.464713397844462e-07,1,0.0018075142906314782,0.0021816740719853445,0.08035822393544458,0.46222210889219645,0.9929825153431524,1260,138,2520,552,138,414,167.05263157894802,116.21052631578927,50.842105263158025,40.81047727262439
qft 37 full code fidelity,5.924649928860125e-08,1,0.0012599216922462527,0.001529052120076984,0.06957618855317324,0.44201419596205305,0.99277910999078,1332,142,2664,568,142,426,171.89473684210594,119.57894736842083,52.315789473684355,40.81047727262439
qft 38 full code fidelity,2.336575027591736e-08,1,0.0008694638471734857,0.0010609778705061867,0.060000226723816684,0.42215213033139704,0.9925757046384076,1406,146,2812,584,146,438,176.73684210526386,122.94736842105239,53.789473684210684,40.81047727262439
