file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_fidelity_coherence_big,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,num_big_move,total_move_dis,average_movement
qft 25,7.037503696615337e-06,1,0.049413822110038565,0.05621342054619543,0.09079057485369987,0.027905474400562957,0.960216048795821,600,94,2398,3909,598,1371.4736842104799,40.85243239050726
qft 26,2.313546876039617e-06,1,0.03845939824099911,0.04398500440138737,0.07432559783167374,0.01840063318591943,0.9585027552113684,650,98,2598,4198,631,1433.999999999954,40.57381747943014
qft 27,7.087927901216496e-07,1,0.029634846598205214,0.034073824669237286,0.06036149145650903,0.011628823027004583,0.9549185326799245,702,102,2806,4455,669,1570.421052631531,40.88638650183131
qft 28,1.9450233068332004e-07,1,0.02260731802731656,0.026132968585455146,0.048630128698347326,0.006769889821281321,0.9526598969771138,756,106,3022,4817,709,1660.1052631578507,40.53881646346464
qft 29,4.74831182459925e-08,1,0.01707424722777896,0.0198430408231548,0.03886644166514175,0.0036059081378868782,0.9487374925323346,812,110,3246,5187,753,1820.7894736841672,40.615424677165585
qft 30,1.172436387731065e-08,1,0.012766746905164973,0.014916925569894404,0.030815417064261563,0.001997844430311834,0.9451227402811341,870,114,3478,5494,813,1923.2105263157432,40.725449055845885
qft 31,2.313452505401267e-09,1,0.009450724290688864,0.011102020811130906,0.024237355015339374,0.0009097210273703952,0.9409112275540086,930,118,3718,5921,858,2117.9999999999454,40.85995867321233
qft 32,5.010905403833792e-10,1,0.0069262170922646735,0.008180434447901015,0.018911514247096015,0.0004676462232626543,0.9388750185252427,992,122,3966,6279,882,2211.315789473611,40.547417927324325
qft 33,9.402054569785205e-11,1,0.005025430456791578,0.005967635902294668,0.014638321796742862,0.00021416864641060323,0.9355823847774271,1056,126,4222,6652,924,2349.3684210525366,40.583640326174006
qft 34,1.60150556558003e-11,1,0.0036099118471168983,0.0043100259473154105,0.011240358989536849,9.157391656002394e-05,0.9315021589555119,1122,130,4486,7048,981,2492.6842105261994,40.58658146883788
qft 35,2.3493241601475863e-12,1,0.0025672377333703605,0.0030818327697636444,0.008562350056554103,3.467965828411979e-05,0.9250049304795726,1190,134,4758,7421,1057,2725.8421052629965,41.034875853871185
qft 36,3.1234346574077413e-13,1,0.0018075142906314782,0.0021816740719853445,0.006470378440561829,1.2241401220329193e-05,0.9227466210735797,1260,138,5038,7917,1083,2855.631578947188,40.73627398357874
qft 37,5.695334049473569e-14,1,0.0012599216922462527,0.001529052120076984,0.004850542247539639,6.094850646725804e-06,0.9206424265769304,1332,142,5326,8143,1126,2901.6842105261194,40.706368910840425
qft 38,4.705457946616661e-15,1,0.0008694638471734857,0.0010609778705061867,0.003607238075823034,1.4140645532147078e-06,0.9145024555097463,1406,146,5622,8768,1197,3158.5789473681834,40.710965352901525
qft 39,3.9477923846432217e-16,1,0.0005940262887104569,0.0007288564131460777,0.002661235003740367,3.426284591352623e-07,0.9083725663899094,1482,150,5926,9284,1260,3417.3684210523497,40.8937708627169
qft 40,1.97670845358157e-17,1,0.0004017963279080584,0.0004957117927726742,0.0019476708019255304,5.0955592033290584e-08,0.8988025147653276,1560,154,6238,9935,1352,3817.315789473335,41.372869659601236
qft 41,3.0479835025286604e-18,1,0.00026906203525670747,0.0003337860171417196,0.0014140728566247884,2.4000498575310608e-08,0.8995181793381147,1640,158,6558,10172,1356,3805.631578947002,40.98359164766209
qft 42,1.663443499443187e-19,1,0.00017837954184635497,0.00022251466845776976,0.0010184786374322196,4.114835144223116e-09,0.8942838121796123,1722,162,6886,10775,1425,4010.684210525929,40.94136169043996
qft 43,1.070274265318556e-20,1,0.00011708030005530386,0.0001468590684486889,0.000727706020629729,8.553709940131234e-10,0.8895034813240063,1806,166,7222,11230,1472,4235.421052631243,41.02664096919338
qft 44,3.6446295620478764e-22,1,7.607969640955469e-05,9.596094365866827e-05,0.0005158030641829752,9.678458555735076e-11,0.8850798123557622,1892,170,7566,11959,1527,4443.68421052607,40.8064680551191
qft 45,2.3441093254302127e-23,1,4.894404698322984e-05,6.207830759629702e-05,0.0003626901602134165,2.127170709390271e-11,0.882172162124883,1980,174,7918,12370,1569,4559.736842105097,40.670269872021564
qft 46,7.260348838431776e-25,1,3.1172895498583746e-05,3.975912740609186e-05,0.00025299476493573073,2.315431648089366e-12,0.8737002041529731,2070,178,8278,12904,1661,4880.000000000024,40.94145687489875
qft 47,3.132156927825852e-26,1,1.9656245706305155e-05,2.5210730952444772e-05,0.00017506978638955918,3.6103250214248327e-13,0.8705528509609386,2162,182,8646,13337,1700,5034.842105263283,40.99442785815283
qft 48,5.77255632271161e-28,1,1.2270723280461195e-05,1.5826527925645854e-05,0.00012018071260556188,2.47330453292722e-14,0.8630177807812467,2256,186,9022,14007,1802,5293.894736842361,40.96300874167061
qft 49,5.0628420170070176e-30,1,7.583783282980867e-06,9.83642934050742e-06,8.184313442024441e-05,8.292562083082519e-16,0.8530641783136516,2352,190,9406,14730,1871,5775.789473684695,41.322074691097406
qft 50,1.0984385366020854e-31,1,4.640318890515293e-06,6.052585347905994e-06,5.5290897317703005e-05,7.073483967454158e-17,0.8492768956009732,2450,194,9798,15240,1922,5961.631578948,41.26892685654573
