file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_fidelity_coherence_big,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,num_big_move,total_move_dis,average_movement
qft 15,0.02201294997279437,1,0.3490173016974103,0.37673216372443347,0.43152912216191286,0.3879613663986761,0.9742942259119552,210,54,840,1552,340,837.0526315789299,48.56856744359545
qft 16,0.012542137087425931,1,0.30028896908517405,0.32582256083374433,0.3827090189332189,0.3349517990156165,0.9716092562971297,240,58,960,1664,364,936.2105263157717,49.035120964159404
qft 17,0.0061811003688360755,1,0.2557867022842223,0.27898523736235625,0.33670625926950426,0.2572500216858987,0.9680247254395576,272,62,1088,1944,400,1092.5263157894478,48.7338848542004
qft 18,0.0027134283022002526,1,0.21570623976979011,0.23650096147234326,0.2938715804362219,0.18099440215946053,0.9616614649955982,306,66,1224,2276,476,1306.315789473659,49.10663630683212
qft 19,0.0012938701131899582,1,0.18009166573181268,0.19848889581374413,0.25444146833403414,0.1422567744943093,0.9589180725057547,342,70,1368,2456,496,1430.9473684210275,49.02261657518817
qft 20,0.0005549452576076473,1,0.1488574871309632,0.1649267641837768,0.2185456182532042,0.10342992724816673,0.955497172986264,380,74,1520,2708,536,1563.7894736841863,48.880137934540954
qft 21,0.0002248707420046062,1,0.12181307688414098,0.13567432772852994,0.18621738327383103,0.0730669773561198,0.9511307400221239,420,78,1680,2940,588,1718.7368421052372,49.17382937581551
qft 22,7.042012703801901e-05,1,0.09868776295209036,0.1104983608640051,0.15740634752482555,0.04102564543728515,0.9419810796857774,462,82,1848,3348,684,2048.947368421029,49.89138107046533
qft 23,2.3326663790158297e-05,1,0.07915509187866449,0.08909751893838488,0.13199217015362635,0.025058783995412552,0.9365721087947747,506,86,2024,3664,744,2252.4210526315414,49.985584147810805
qft 24,7.969879279189981e-06,1,0.0628551072319092,0.07112577357411168,0.1097989034717738,0.01623626629382832,0.9322774061816147,552,90,2208,3888,776,2450.210526315735,50.230674233741595
qft 25,2.2714800670997246e-06,1,0.049413822110038565,0.05621342054619543,0.09060908449456723,0.009025031527324904,0.9280020178900309,600,94,2400,4268,816,2657.5789473683517,49.72429550227177
qft 26,6.274174268686751e-07,1,0.03845939824099911,0.04398500440138737,0.07417702096160832,0.0050001158320119666,0.9207622725620305,650,98,2600,4532,892,2908.631578947275,50.37464833502122
qft 27,1.547189915073104e-07,1,0.029634846598205214,0.034073824669237286,0.06024082883508732,0.0025434846412491826,0.9149592682504254,702,102,2808,4876,940,3167.6842105262112,50.4443117419128
