file_name,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,big_movement_stage,movement_distance
qft 27 full code fidelity,1.910113429999674e-05,0.029634846598205214,0.034073824669237286,0.06036149145650922,0.3133831402991352,702,102,2806,1364,203,348.47368421052727
qft 28 full code fidelity,7.975745141147031e-06,0.02260731802731656,0.026132968585455146,0.04863012869834737,0.27760549530944845,756,106,3022,1456,211,367.42105263157964
qft 29 full code fidelity,3.219430063854174e-06,0.01707424722777896,0.0198430408231548,0.038866441665141874,0.24448624048799025,812,110,3246,1548,219,386.368421052632
qft 30 full code fidelity,1.256236943036246e-06,0.012766746905164973,0.014916925569894404,0.03081541706426162,0.2140641493270181,870,114,3478,1640,227,405.3157894736845
qft 31 full code fidelity,4.738469568520972e-07,0.009450724290688864,0.011102020811130906,0.0242373550153394,0.18633126869793082,930,118,3718,1732,235,424.263157894737
qft 32 full code fidelity,1.7276973500161934e-07,0.0069262170922646735,0.008180434447901015,0.018911514247096053,0.1612385538265824,992,122,3966,1824,243,443.2105263157895
qft 33 full code fidelity,6.089045935087508e-08,0.005025430456791578,0.005967635902294668,0.014638321796742888,0.1387018886319299,1056,126,4222,1916,251,462.15789473684197
qft 34 full code fidelity,2.0743008047197677e-08,0.0036099118471168983,0.0043100259473154105,0.011240358989536854,0.11860829765084334,1122,130,4486,2008,259,481.10526315789446
qft 35 full code fidelity,6.830050578976777e-09,0.0025672377333703605,0.0030818327697636444,0.008562350056554062,0.10082211052871067,1190,134,4758,2100,267,500.05263157894694
qft 36 full code fidelity,2.173674602239027e-09,0.0018075142906314782,0.0021816740719853445,0.0064703784405618185,0.08519090631635344,1260,138,5038,2192,275,518.999999999999
qft 37 full code fidelity,6.686089754621784e-10,0.0012599216922462527,0.001529052120076984,0.004850542247539618,0.07155105936023225,1332,142,5326,2284,283,537.94736842105
qft 38 full code fidelity,1.9876754749191497e-10,0.0008694638471734857,0.0010609778705061867,0.003607238075823022,0.05973279252019141,1406,146,5622,2376,291,556.8947368421009
qft 39 full code fidelity,5.710877022461391e-11,0.0005940262887104569,0.0007288564131460777,0.002661235003740362,0.04956463774864292,1482,150,5926,2468,299,575.8421052631519
qft 40 full code fidelity,1.5857421317504807e-11,0.0004017963279080584,0.0004957117927726742,0.0019476708019255152,0.040877261889113635,1560,154,6238,2560,307,594.7894736842027
qft 41 full code fidelity,4.2420841265324975e-12,0.00026906203525670747,0.0003337860171417196,0.0014140728566247836,0.03340311191012883,1640,158,6558,2656,315,614.1578947368323
qft 42 full code fidelity,1.0572358208798288e-12,0.00017837954184635497,0.00022251466845776976,0.0010184786374322127,0.026152683351999263,1722,162,6886,2780,323,637.3157894736722
